DEBUG : 15-02-2021 20:37:30.689 -  [<module>]- ['title', 'console', 'genre', 'publisher']
DEBUG : 15-02-2021 20:37:30.689 -  [<module>]- ['Grand Theft Auto V', 'PC', 'Action', 'Rockstar Games']
DEBUG : 15-02-2021 20:37:30.689 -  [<module>]- ['The Binding of Isaac', 'PC', 'Action', 'Edmund McMillen']
DEBUG : 15-02-2021 20:37:30.689 -  [<module>]- ['Driver', 'PS', 'Action', 'GT Interactive']
DEBUG : 15-02-2021 20:37:30.689 -  [<module>]- ['Metal Gear Solid', 'PS', 'Action', 'Konami']
DEBUG : 15-02-2021 20:37:30.689 -  [<module>]- ['Tomb Raider (2013)', 'PC', 'Action', 'Square Enix']
DEBUG : 15-02-2021 20:37:30.690 -  [<module>]- ['Resident Evil 2', 'PS', 'Action', 'Capcom']
DEBUG : 15-02-2021 20:37:30.690 -  [<module>]- ['Driver 2', 'PS', 'Action', 'Atari']
DEBUG : 15-02-2021 20:37:30.690 -  [<module>]- ['Tomb Raider', 'PS', 'Action', 'Eidos Interactive']
DEBUG : 15-02-2021 20:37:30.690 -  [<module>]- ['Dead Island', 'PC', 'Action', 'Deep Silver']
DEBUG : 15-02-2021 20:37:30.690 -  [<module>]- ['7 Days to Die', 'PC', 'Action', 'The Fun Pimps']
DEBUG : 15-02-2021 20:37:30.691 -  [<module>]- ['Just Cause 2', 'PC', 'Action', 'Eidos Interactive']
DEBUG : 15-02-2021 20:37:30.691 -  [<module>]- ['Frogger', 'PS', 'Action', 'Hasbro Interactive']
DEBUG : 15-02-2021 20:37:30.691 -  [<module>]- ["Harry Potter and the Sorcerer's Stone", 'PS', 'Action', 'Electronic Arts']
DEBUG : 15-02-2021 20:37:30.691 -  [<module>]- ['Diablo III: Reaper of Souls', 'PC', 'Action', 'Blizzard Entertainment']
DEBUG : 15-02-2021 20:37:30.691 -  [<module>]- ['Rugrats in Paris: The Movie', 'PS', 'Action', 'THQ']
DEBUG : 15-02-2021 20:37:30.691 -  [<module>]- ['Resident Evil 3: Nemesis', 'PS', 'Action', 'Capcom']
DEBUG : 15-02-2021 20:37:30.691 -  [<module>]- ['Dying Light', 'PC', 'Action', 'Warner Bros. Interactive Entertainment']
DEBUG : 15-02-2021 20:37:30.691 -  [<module>]- ['Grand Theft Auto 2', 'PS', 'Action', 'Rockstar Games']
DEBUG : 15-02-2021 20:37:30.691 -  [<module>]- ['Spider-Man', 'PS', 'Action', 'Activision']
DEBUG : 15-02-2021 20:37:30.691 -  [<module>]- ['Hitman: Absolution', 'PC', 'Action', 'Square Enix']
DEBUG : 15-02-2021 20:37:30.691 -  [<module>]- ['The Binding of Isaac: Rebirth', 'PC', 'Action', 'Nicalis']
DEBUG : 15-02-2021 20:37:30.691 -  [<module>]- ['Resident Evil', 'PS', 'Action', 'Capcom']
DEBUG : 15-02-2021 20:37:30.691 -  [<module>]- ['Hotline Miami', 'PC', 'Action', 'Devolver Digital']
DEBUG : 15-02-2021 20:37:30.691 -  [<module>]- ['Tomb Raider: The Last Revelation', 'PS', 'Action', 'Eidos Interactive']
