DEBUG : 17-02-2021 18:11:58.664 -  [<module>]- ["Who's Your Daddy", 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.664 -  [<module>]- ['The Escapists', 'PC', 'Action', 'Team17 Software']
DEBUG : 17-02-2021 18:11:58.664 -  [<module>]- ['Army Men 3D', 'PS', 'Action', '3DO']
DEBUG : 17-02-2021 18:11:58.664 -  [<module>]- ['Star Wars Episode 1: Jedi Power Battles', 'PS', 'Action', 'LucasArts']
DEBUG : 17-02-2021 18:11:58.664 -  [<module>]- ['Dino Crisis 2', 'PS', 'Action', 'Capcom']
DEBUG : 17-02-2021 18:11:58.664 -  [<module>]- ["Resident Evil Director's Cut: Dual Shock Edition", 'PS', 'Action', 'Capcom']
DEBUG : 17-02-2021 18:11:58.665 -  [<module>]- ['Action Bass', 'PS', 'Action', 'Take-Two Interactive']
DEBUG : 17-02-2021 18:11:58.665 -  [<module>]- ["Resident Evil Director's Cut", 'PS', 'Action', 'Capcom']
DEBUG : 17-02-2021 18:11:58.665 -  [<module>]- ['Super Hexagon', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.665 -  [<module>]- ["Assassin's Creed Origins", 'PC', 'Action', 'Ubisoft']
DEBUG : 17-02-2021 18:11:58.665 -  [<module>]- ['Tomb Raider', 'PC', 'Action', 'Eidos Interactive']
DEBUG : 17-02-2021 18:11:58.665 -  [<module>]- ['The Lost World: Jurassic Park', 'PS', 'Action', 'Electronic Arts']
DEBUG : 17-02-2021 18:11:58.665 -  [<module>]- ['Resident Evil 5', 'PC', 'Action', 'Capcom']
DEBUG : 17-02-2021 18:11:58.665 -  [<module>]- ['Mordhau', 'PC', 'Action', 'Triternion']
DEBUG : 17-02-2021 18:11:58.665 -  [<module>]- ['Warhammer: Vermintide 2', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.666 -  [<module>]- ['Gauntlet', 'PC', 'Action', 'Mindscape']
DEBUG : 17-02-2021 18:11:58.666 -  [<module>]- ['Lego Marvel Super Heroes', 'PC', 'Action', 'Warner Bros. Interactive Entertainment']
DEBUG : 17-02-2021 18:11:58.666 -  [<module>]- ['DmC Devil May Cry', 'PC', 'Action', 'Capcom']
DEBUG : 17-02-2021 18:11:58.666 -  [<module>]- ['Ryse: Son of Rome', 'PC', 'Action', 'Crytek']
DEBUG : 17-02-2021 18:11:58.666 -  [<module>]- ['Grand Theft Auto: San Andreas', 'PC', 'Action', 'Rockstar Games']
DEBUG : 17-02-2021 18:11:58.666 -  [<module>]- ['Getting Over It with Bennett Foddy', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.666 -  [<module>]- ['Mount Your Friends', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.666 -  [<module>]- ['3Xtreme', 'PS', 'Action', '989 Studios']
DEBUG : 17-02-2021 18:11:58.666 -  [<module>]- ['Grand Theft Auto IV', 'PC', 'Action', 'Rockstar Games']
DEBUG : 17-02-2021 18:11:58.666 -  [<module>]- ['Magicka 2', 'PC', 'Action', 'Paradox Interactive']
DEBUG : 17-02-2021 18:11:58.667 -  [<module>]- ['Army Men: Air Attack', 'PS', 'Action', '3DO']
DEBUG : 17-02-2021 18:11:58.667 -  [<module>]- ['Rampage World Tour', 'PS', 'Action', 'Midway Games']
